{'learning_rate': 0.0005, 'hidden_dimensions': (1024, 32), 'non_linearity': 'relu', 'average_accuracy': 0.8240666666666666}
{'learning_rate': 0.0005, 'hidden_dimensions': (1024, 32), 'non_linearity': 'sigmoid', 'average_accuracy': 0.15986666666666666}
{'learning_rate': 0.0005, 'hidden_dimensions': (1024, 64), 'non_linearity': 'relu', 'average_accuracy': 0.8432}
{'learning_rate': 0.0005, 'hidden_dimensions': (1024, 64), 'non_linearity': 'sigmoid', 'average_accuracy': 0.17286666666666664}
{'learning_rate': 0.0005, 'hidden_dimensions': (1024, 128), 'non_linearity': 'relu', 'average_accuracy': 0.8433333333333334}
{'learning_rate': 0.0005, 'hidden_dimensions': (1024, 128), 'non_linearity': 'sigmoid', 'average_accuracy': 0.1389}
{'learning_rate': 0.0005, 'hidden_dimensions': (512, 512), 'non_linearity': 'relu', 'average_accuracy': 0.8281000000000001}
{'learning_rate': 0.0005, 'hidden_dimensions': (512, 512), 'non_linearity': 'sigmoid', 'average_accuracy': 0.16056666666666666}
{'learning_rate': 0.0005, 'hidden_dimensions': (512, 256), 'non_linearity': 'relu', 'average_accuracy': 0.8246333333333333}
{'learning_rate': 0.0005, 'hidden_dimensions': (512, 256), 'non_linearity': 'sigmoid', 'average_accuracy': 0.1482}
{'learning_rate': 0.001, 'hidden_dimensions': (1024, 32), 'non_linearity': 'relu', 'average_accuracy': 0.8696333333333334}
{'learning_rate': 0.001, 'hidden_dimensions': (1024, 32), 'non_linearity': 'sigmoid', 'average_accuracy': 0.2750666666666666}
{'learning_rate': 0.001, 'hidden_dimensions': (1024, 64), 'non_linearity': 'relu', 'average_accuracy': 0.8830666666666667}
{'learning_rate': 0.001, 'hidden_dimensions': (1024, 64), 'non_linearity': 'sigmoid', 'average_accuracy': 0.33039999999999997}
{'learning_rate': 0.001, 'hidden_dimensions': (1024, 128), 'non_linearity': 'relu', 'average_accuracy': 0.8824333333333333}
{'learning_rate': 0.001, 'hidden_dimensions': (1024, 128), 'non_linearity': 'sigmoid', 'average_accuracy': 0.3158666666666667}
{'learning_rate': 0.001, 'hidden_dimensions': (512, 512), 'non_linearity': 'relu', 'average_accuracy': 0.8729666666666667}
{'learning_rate': 0.001, 'hidden_dimensions': (512, 512), 'non_linearity': 'sigmoid', 'average_accuracy': 0.3546}
{'learning_rate': 0.001, 'hidden_dimensions': (512, 256), 'non_linearity': 'relu', 'average_accuracy': 0.8748666666666667}
{'learning_rate': 0.001, 'hidden_dimensions': (512, 256), 'non_linearity': 'sigmoid', 'average_accuracy': 0.29406666666666664}
{'learning_rate': 0.0025, 'hidden_dimensions': (1024, 32), 'non_linearity': 'relu', 'average_accuracy': 0.9082666666666667}
{'learning_rate': 0.0025, 'hidden_dimensions': (1024, 32), 'non_linearity': 'sigmoid', 'average_accuracy': 0.49133333333333334}
{'learning_rate': 0.0025, 'hidden_dimensions': (1024, 64), 'non_linearity': 'relu', 'average_accuracy': 0.9118666666666666}
{'learning_rate': 0.0025, 'hidden_dimensions': (1024, 64), 'non_linearity': 'sigmoid', 'average_accuracy': 0.5892333333333334}
{'learning_rate': 0.0025, 'hidden_dimensions': (1024, 128), 'non_linearity': 'relu', 'average_accuracy': 0.9116333333333334}
{'learning_rate': 0.0025, 'hidden_dimensions': (1024, 128), 'non_linearity': 'sigmoid', 'average_accuracy': 0.5807333333333333}
{'learning_rate': 0.0025, 'hidden_dimensions': (512, 512), 'non_linearity': 'relu', 'average_accuracy': 0.9084666666666666}
{'learning_rate': 0.0025, 'hidden_dimensions': (512, 512), 'non_linearity': 'sigmoid', 'average_accuracy': 0.5627}
{'learning_rate': 0.0025, 'hidden_dimensions': (512, 256), 'non_linearity': 'relu', 'average_accuracy': 0.9086666666666666}
{'learning_rate': 0.0025, 'hidden_dimensions': (512, 256), 'non_linearity': 'sigmoid', 'average_accuracy': 0.5826666666666667}
{'learning_rate': 0.005, 'hidden_dimensions': (1024, 32), 'non_linearity': 'relu', 'average_accuracy': 0.9260333333333334}
{'learning_rate': 0.005, 'hidden_dimensions': (1024, 32), 'non_linearity': 'sigmoid', 'average_accuracy': 0.6336666666666667}
{'learning_rate': 0.005, 'hidden_dimensions': (1024, 64), 'non_linearity': 'relu', 'average_accuracy': 0.9266666666666666}
{'learning_rate': 0.005, 'hidden_dimensions': (1024, 64), 'non_linearity': 'sigmoid', 'average_accuracy': 0.6817333333333333}
{'learning_rate': 0.005, 'hidden_dimensions': (1024, 128), 'non_linearity': 'relu', 'average_accuracy': 0.9269333333333334}
{'learning_rate': 0.005, 'hidden_dimensions': (1024, 128), 'non_linearity': 'sigmoid', 'average_accuracy': 0.6882666666666667}
{'learning_rate': 0.005, 'hidden_dimensions': (512, 512), 'non_linearity': 'relu', 'average_accuracy': 0.9228666666666667}
{'learning_rate': 0.005, 'hidden_dimensions': (512, 512), 'non_linearity': 'sigmoid', 'average_accuracy': 0.6751}
{'learning_rate': 0.005, 'hidden_dimensions': (512, 256), 'non_linearity': 'relu', 'average_accuracy': 0.9223333333333334}
